"conc","dose","n","ndead"
29300,70320,8,1
32100,77040,8,4
45300,108720,8,5
57300,137520,8,6
64800,155520,8,5
67000,160800,8,3
100000,240000,8,8
125000,300000,8,7
166000,398400,8,8
