Dataset,BIOME,Species,GrowthForm,Decid_Evergreen,Needle_Broadleaf,C3C4,N2_fixer,logLL,logLMA,logNmass,logPmass,logAmass,logRdmass
Ackerly_Jasper,WLAND,Adenostoma fasciculatum,S,E,N,C3,N,1.26,2.45,0.069,-0.932,1.69,
Ackerly_Jasper,WLAND,Arbutus menziesii,S,E,B,C3,N,1.17,2.19,0.094,-0.923,1.86,
Ackerly_Jasper,WLAND,Arctostaphylos tomentosa,S,E,B,C3,N,1.35,2.15,0.014,-0.994,1.88,
Ackerly_Jasper,WLAND,Artemisia californica,S,D,B,C3,N,,1.98,,,,
Ackerly_Jasper,WLAND,Baccharis pilularis,S,E,B,C3,N,0.95,2.03,0.388,-0.824,2.21,
Ackerly_Jasper,WLAND,Ceanothus cuneatus,S,E,B,C3,Y,1.17,2.36,0.255,-0.962,2,
Ackerly_Jasper,WLAND,Ceanothus oliganthus,S,E,B,C3,Y,1.04,2.08,0.328,-0.826,2.17,
Ackerly_Jasper,WLAND,Cercocarpus betuloides,S,E,B,C3,Y,1.07,2.14,0.382,-0.692,2.25,
Ackerly_Jasper,WLAND,Clematis lasiantha,V,D,B,C3,N,,1.87,,,,
Ackerly_Jasper,WLAND,Dirca occidentalis,S,D,B,C3,N,0.6,1.75,0.412,-0.761,2.13,
Ackerly_Jasper,WLAND,Eriodictyon californicum,S,E,B,C3,N,0.96,2.25,0.222,-0.805,2.02,
Ackerly_Jasper,WLAND,Heteromeles arbutifolia,S,E,B,C3,N,1.36,2.32,0.137,-0.879,1.77,
Ackerly_Jasper,WLAND,Holodiscus discolor,S,D,B,C3,N,0.66,1.89,0.288,-0.72,2.21,
Ackerly_Jasper,WLAND,Lepechinia calycina,S,D,B,C3,N,0.64,2,0.259,-0.922,2.1,
Ackerly_Jasper,WLAND,Lonicera hispidula,V,D,B,C3,N,,2.03,,,,
Ackerly_Jasper,WLAND,Lotus scoparius,S,D,B,C3,Y,0.3,1.98,0.361,-0.803,2.35,
Ackerly_Jasper,WLAND,Mimulus aurantiacus,S,E,B,C3,N,0.88,2.05,0.063,-0.921,2.09,
Ackerly_Jasper,WLAND,Pickeringia montana,S,E,B,C3,Y,,2.18,,,,
Ackerly_Jasper,WLAND,Prunus iIlicifolia,S,E,B,C3,N,1.22,2.18,0.311,-0.847,1.81,
Ackerly_Jasper,WLAND,Quercus agrifolia,S,E,B,C3,N,,2.29,,,,
Ackerly_Jasper,WLAND,Quercus durata,S,E,B,C3,N,,2.32,,,,
Ackerly_Jasper,WLAND,Rhamnus californica,S,E,B,C3,N,1.19,1.87,0.318,-0.689,2.16,
Ackerly_Jasper,WLAND,Rhamnus crocea,S,E,B,C3,N,1.13,2.1,0.328,-0.871,2,
Ackerly_Jasper,WLAND,Ribes californicum,S,D,B,C3,N,0.52,1.97,0.349,-0.875,2.07,
Ackerly_Jasper,WLAND,Ribes malvaceum,S,D,B,C3,N,,1.87,,,,
Ackerly_Jasper,WLAND,Sambucus mexicana,S,D,B,C3,N,0.62,2,0.404,-0.748,2.28,
Ackerly_Jasper,WLAND,Solanum umbelliferum,S,D,B,C3,N,,1.9,,,,
Ackerly_Jasper,WLAND,Toxicodendron diversiloba,S,D,B,C3,N,0.62,1.9,0.296,-0.702,2.22,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Cheirodendron tryginum,T,,,C3,N,,1.95,0.076,-1.046,1.78,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Chenopodium oahuense,S,E,,C3,N,,1.95,0.56,-0.553,2.21,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Comprosma ochracea,T,E,,C3,N,,1.9,0.111,-1.155,2.11,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.49,-0.137,-2,1.16,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Myoporum sandwicensis,T,,,C3,N,,2.17,0.111,-0.796,2,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Myrsine lessertiana,T,,,C3,N,,2.19,-0.018,-1.398,1.67,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Pelea sp,T,,,C3,N,,1.82,0.114,-1.523,,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Rhus sandwicensis,T,,,C3,N,,1.68,0.146,-1.097,2.53,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Rubus hawaiiensis,S,E,,C3,N,,1.56,0.47,-0.658,,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Sophora chrysophylla,T,,,C3,Y,,2.06,0.461,-0.824,1.83,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Styphelia tameiameiae,S,E,,C3,N,,2.31,-0.086,-2,,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Vaccinium chalicinum,S,E,,C3,N,,1.73,0.299,-0.658,1.98,
Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Vaccinium reticulatum,S,E,,C3,N,,2.23,-0.051,-2,,
Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Carex kauaiensis,G,,,C3,N,,2.18,-0.013,-1.301,,
Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Dodonaea viscosa,S,E,B,C3,N,,2.16,0.146,-0.854,,
Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Dubautia scabra,S,E,,C3,N,,1.82,-0.092,-1.523,,
Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.29,-0.066,-1.398,1.69,
Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Nephrolepsis sp,F,,,C3,N,,2.19,0.037,-0.886,0.97,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Dicranopteris linearis,F,,,C3,N,,1.92,0.037,-1.398,,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Heteropogon contortus,G,,B,C4,N,,1.66,0.072,-0.959,,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Meterosideros polymorpha gl,T,,,C3,N,,2.15,-0.066,-1.301,,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.25,-0.06,-1.222,1.79,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Myrsine sandwicensis,S,E,,C3,N,,1.66,0.021,-1.301,,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Nephrolepsis sp,F,,,C3,N,,1.68,0.045,-0.959,,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Pipturus albidus,T,,,C3,N,,1.79,0.204,-1.097,2.36,
Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Psychotria sp,S,E,,C3,N,,1.85,0.117,-1.097,1.45,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Brussaisia arguta,S,E,,C3,N,,1.86,0.127,-1,1.66,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Cibotium glaucum,F,,,C3,N,,1.78,0.22,-0.959,,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Clermontia montes-loa,S,E,,C3,N,,1.51,0.455,-0.886,1.67,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Freycinetia arborea,H,,,C3,N,,1.78,0.281,-1,1.59,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Ilex anomala,T,,,C3,N,,1.98,0.093,-1.398,,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Meterosideros polymorpha gl,T,,,C3,N,,2.04,0.045,-1.155,1.48,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.31,-0.114,-1.699,1.27,
Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Peperomia sp,H,,,C3,N,,1.57,0.338,-0.921,,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Comprosma ernodeoides,S,E,,C3,N,,1.91,-0.004,-1.222,,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Comprosma ochracea,S,E,,C3,N,,1.6,0.243,-1.155,1.51,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Dicranopteris linearis,F,,,C3,N,,2.04,-0.018,-1.301,,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Hedyotis centranthoides,S,E,,C3,N,,2.09,0.104,-1.398,1.48,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Machaerina mariscoides,G,,,C3,N,,2.35,-0.161,-1.699,,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Meterosideros polymorpha gl,T,,,C3,N,,2.2,-0.108,-1.398,1.46,
Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.56,-0.229,-1.699,1.27,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Betula papyrifera,T,D,B,C3,N,,2,0.402,,2.29,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Prunus serotina,T,D,B,C3,N,,1.75,0.428,,2.52,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Fraxinus americana,T,D,B,C3,N,,1.96,0.358,,2,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Quercus rubra,T,D,B,C3,N,,2.04,0.406,,2.33,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Quercus alba,T,D,B,C3,N,,2,0.527,,2.36,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Castanea dentata,T,,B,C3,N,,1.76,0.413,,2.34,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Ulmus americana,T,D,B,C3,N,,1.81,0.301,,2.3,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer rubrum,T,D,B,C3,N,,2.02,0.234,,2.09,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer saccharum,T,D,B,C3,N,,2.01,0.222,,1.83,
Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer pensylvanicum,T,D,B,C3,N,,1.77,0.405,,2.23,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Acalypha skutchii,T,E,,,N,,1.41,0.412,-0.672,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Aegiphila costaricensis,T,D,,,N,,1.63,0.191,-0.674,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Allophylus camptostachys,T,E,,,N,,2.03,0.053,-0.892,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Amphitecna tuxtlensis,T,E,,,N,,1.93,0.154,-0.954,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Astrocaryum mexicanum,T,E,,,N,,1.87,0.222,-0.798,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Bactris trichophylla,S,E,,,N,,1.74,0.187,-0.969,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Brosimum alicastrum,T,D,,,N,,1.8,0.329,-0.885,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Bursera simaruba,T,D,B,C3,N,,1.93,0.18,-0.997,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Capparis baducca,T,E,,,N,,1.75,0.213,-0.999,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Casearia sylvestris,T,E,,,N,,1.8,,-1.074,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Cecropia obtusifolia,T,E,,,N,,1.89,0.344,-0.914,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Chamaedorea alternans,T,E,,,N,,1.62,0.08,-0.85,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Chamaedorea pinnatifrons,T,E,,,N,,1.61,0.247,-0.684,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Clarisia biflora,T,E,,,N,,2.03,0.322,-0.944,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Coccoloba hondurensis,T,E,,,N,,2.02,,-1.032,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Cordia megalantha,T,D,,,N,,1.93,0.329,-0.864,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Croton schiedeanus,T,E,,,N,,1.82,0.282,-0.814,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Cupania dentata,T,E,,,N,,2.06,0.177,-1.016,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Cymbopetalum baillonii,T,E,,,N,,2.04,0.119,-0.678,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Cynometra retusa,T,E,,,Y,,2.11,0.072,-1.026,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Dendropanax arboreus,T,E,,,N,,1.97,-0.048,-0.859,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Dialium guianense,T,D,,,Y,,1.92,0.227,-0.931,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Dussia mexicana,T,D,,,Y,,1.92,0.2,-0.874,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Erythrina folkersii,T,D,,,Y,,1.69,0.444,-0.82,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Faramea occidentalis,T,E,,,N,,1.94,0.092,-1.083,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Ficus tecolutensis,T,E,,,N,,2.12,,-1.071,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Ficus yoponensis,T,E,,,N,,2.02,0.237,-0.899,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Guamia LT sp1,T,E,,,N,,1.66,0.24,-0.911,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Guarea glabra,T,E,,,N,,2.06,0.243,-0.977,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Guarea grandifolia,T,E,,,N,,2,0.204,-0.743,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Hampea nutricia,T,E,,,N,,1.79,0.323,-0.71,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Heliocarpus appendiculatus,T,E,,,N,,1.71,0.326,-0.772,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Inga quaternata,T,E,,,Y,,1.97,,-1.012,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Lonchocarpus guatemalensis,T,D,,,Y,,1.99,0.394,-0.95,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Lunania mexicana,T,E,,,N,,1.74,0.176,-0.809,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Mortoniodendron guatemalense,T,E,,,N,,2,0.18,-1.063,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Myriocarpa longipes,S,D,,,N,,1.73,0.16,-0.939,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Nectandra ambigens,T,E,,,N,,2.14,0.228,-0.985,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Omphalea oleifera,T,D,,,N,,1.85,0.403,-0.636,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Oreopanax obtusifolius,EP,E,,,N,,2.12,,-1.113,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Orthion oblanceolatum,T,E,,,N,,1.84,0.202,-0.745,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper amalago,T,E,B,C3,N,,1.82,0.327,-0.852,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper auritum,S,E,B,C3,N,,1.57,0.508,-0.664,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper hispidum,S,E,B,C3,N,,1.81,0.362,-0.755,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Pleuranthodendron lindenii,T,E,,,N,,2,0.143,-0.913,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Poulsenia armata,T,D,,,N,,2.07,0.223,-0.695,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Pouteria durlandii,T,E,,,N,,2.11,0.201,-1.158,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Pouteria rhynchocarpa,T,E,,,N,,1.96,0.029,-1.149,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Pseudolmedia oxyphyllaria,T,E,,,N,,1.94,0.015,-1.165,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria chiapensis,T,E,,,N,,1.73,0.253,-0.984,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria faxlucens,T,E,,,N,,1.74,0.14,-1.184,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria flava,T,E,,,N,,2.04,0.038,-1.16,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria simiarum,T,E,,,N,,1.62,0.206,-1.157,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Pterocarpus rohrii,T,D,,,Y,,1.98,0.272,-0.761,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Quararibea yunckeri,T,E,,,N,,1.77,0.129,-0.795,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Garcinia intermedia,T,E,,,N,,2.14,-0.123,-1.105,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Robinsonella mirandae,T,E,,,N,,1.78,0.29,-0.743,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Salacia megistophylla,V,E,,,N,,2.19,,-0.914,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Spondias radlkoferi,T,D,,,N,,1.86,0.152,-0.95,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Stemmadenia donnell-smithii,T,E,,,N,,1.73,0.351,-0.921,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Trema micrantha,T,E,,,N,,1.76,0.36,-0.821,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Trichilia martiana,T,E,,,N,,1.79,0.336,-0.753,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Trichospermum mexicanum,T,E,,,N,,1.98,0.257,-0.956,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Trophis mexicana,T,E,,,N,,1.81,0.227,-0.943,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Turpinia occidentalis,T,E,,,N,,1.91,0.048,-1.121,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Urera caracasana,S,E,B,,N,,1.76,0.452,-0.678,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Urera elata,S,E,,,N,,1.6,0.137,-0.985,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Vatairea lundellii,T,E,,,Y,,1.93,0.191,-1.12,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Vochysia guatemalensis,T,E,,,N,,2.05,0.025,-1.128,,
Bongers_et_al_Los_Tuxtlas,TROP_RF,Zanthoxylum kellermanii,T,D,,,N,,1.82,0.319,-0.658,,
Cavendar_Bares_Florida,TEMP_FOR,Quercus falcata,T,D,B,C3,N,0.92,2.12,0.167,,2.08,
Cavendar_Bares_Florida,TEMP_FOR,Quercus hemispherica,T,E,B,C3,N,0.96,2.13,0.083,,1.97,
Cavendar_Bares_Florida,TEMP_FOR,Quercus incana,T,E,B,C3,N,0.75,2.03,-0.022,,2.14,
Cavendar_Bares_Florida,TEMP_FOR,Quercus laurifolia,T,E,B,C3,N,0.88,2.1,0.121,,2.02,
Cavendar_Bares_Florida,TEMP_FOR,Quercus laevis,T,D,B,C3,N,0.93,2.04,0.185,,2.1,
Cavendar_Bares_Florida,TEMP_FOR,Quercus myrtifolia,T,E,B,C3,N,1.09,2.1,0.009,,1.74,
Cavendar_Bares_Florida,TEMP_FOR,Quercus nigra,T,E,B,C3,N,0.94,2.11,0.111,,2.06,
Cavendar_Bares_Florida,TEMP_FOR,Quercus shumardii,T,D,B,C3,N,0.92,1.99,0.225,,2.18,
Cavendar_Bares_Florida,TEMP_FOR,Quercus pumila,T,E,B,C3,N,0.84,2.08,0.004,,2.04,
Cavendar_Bares_Florida,TEMP_FOR,Quercus stellata,T,D,B,C3,N,0.9,2.15,0.238,,2.09,
Cavendar_Bares_Florida,TEMP_FOR,Quercus margaretta,T,D,B,C3,N,0.88,2.04,0.204,,2.18,
Cavendar_Bares_Florida,TEMP_FOR,Quercus michauxii,T,D,B,C3,N,0.92,2.21,-0.051,,2.08,
Cavendar_Bares_Florida,TEMP_FOR,Quercus austrina,T,D,B,C3,N,0.91,2.06,0.288,,2.13,
Cavendar_Bares_Florida,TEMP_FOR,Quercus chapmanii,T,E,B,C3,N,0.94,2.06,0.143,,1.88,
Cavendar_Bares_Florida,TEMP_FOR,Quercus geminata,T,E,B,C3,N,1.04,2.35,-0.06,,1.95,
Cavendar_Bares_Florida,TEMP_FOR,Quercus minima,T,E,B,C3,N,0.84,2.01,0.25,,2.1,
Cavendar_Bares_Florida,TEMP_FOR,Quercus virginiana,T,E,B,C3,N,1.01,2.17,0.121,,2.2,
Christodoulakis_Malakasa,WLAND,Arbutus andrachne,S,E,B,C3,N,1.1,1.66,,,,
Christodoulakis_Malakasa,WLAND,Arbutus unedo,S,E,B,C3,N,1.18,1.65,,,,
Christodoulakis_Malakasa,WLAND,Quercus coccifera,S,E,B,C3,N,1.14,1.67,,,,
Christodoulakis_Malakasa,WLAND,Pistacia lentiscus,S,E,B,C3,N,1.05,1.66,,,,
Christodoulakis_Malakasa,WLAND,Ceratonia siliqua,S,E,B,C3,Y,1.37,1.69,,,,
Christodoulakis_Malakasa,WLAND,Myrtus communis,S,E,B,C3,N,1.35,1.86,,,,
Christodoulakis_Malakasa,WLAND,Olea europaea,S,E,B,C3,N,1.37,1.64,,,,
Christodoulakis_Malakasa,WLAND,Phillyrea media,S,E,B,C3,N,,1.77,,,,
Christodoulakis_Malakasa,WLAND,Quercus ilex,S,E,B,C3,N,,1.9,,,,
Christodoulakis_Malakasa,WLAND,Laurus nobilis,S,E,B,C3,N,,1.91,,,,
Christodoulakis_Malakasa,WLAND,Nerium oleander,S,E,B,C3,N,,1.69,,,,
Chua_et_al_Malaysia,TROP_RF,Dacrydium beccarii,T,,B,,N,,,-0.051,-1.244,,
Chua_et_al_Malaysia,TROP_RF,Eugenia caudata,T,,B,,N,,,-0.187,-1.328,,
Chua_et_al_Malaysia,TROP_RF,Eugenia stapfiana,T,,B,,N,,,-0.066,-1.092,,
Chua_et_al_Malaysia,TROP_RF,Eurycoma longifolia,T,,B,,N,,,,-0.893,,
Chua_et_al_Malaysia,TROP_RF,Ficus deltoidea,V,,B,,N,,,0.121,-1.745,,
Chua_et_al_Malaysia,TROP_RF,Podocarpus neriifolius,T,,B,,N,,,-0.161,-1.268,,
Coley_BCI,TROP_RF,Spondias radlkoferi,T,D,,,N,0.67,,0.423,,,
Coley_BCI,TROP_RF,Annona spraguei,T,,,,N,0.59,,0.342,,,
Coley_BCI,TROP_RF,Desmopsis panamensis,T,,,,N,,,0.344,,,
Coley_BCI,TROP_RF,Guatteria dumentorum,T,E,,,N,1.32,,0.371,,,
Coley_BCI,TROP_RF,Aspidosperma megalocarpon,T,E,,,N,1.46,,0.111,,,
Coley_BCI,TROP_RF,Jacaranda copaia,T,,,,N,0.85,,0.369,,,
Coley_BCI,TROP_RF,Tabebuia rosea,T,,,,N,0.9,,0.369,,,
Coley_BCI,TROP_RF,Ochroma pyramidale,T,E,,,N,,,0.348,,,
Coley_BCI,TROP_RF,Quararibea asterolepsis,T,,,,N,1.07,,0.391,,,
Coley_BCI,TROP_RF,Cordia alliodora,T,D,,,N,0.93,,0.491,,,
Coley_BCI,TROP_RF,Protium tenuifolium,T,E,,,N,1.28,,0.233,,,
Coley_BCI,TROP_RF,Tetragastris panamensis,T,E,,,N,1.36,,0.193,,,
Coley_BCI,TROP_RF,Trattinickia aspera,T,,,,N,0.84,,0.348,,,
Coley_BCI,TROP_RF,Prioria copaifera,T,E,,,Y,1.46,,0.332,,,
Coley_BCI,TROP_RF,Swartzia simplex,T,E,,,Y,1.68,,0.413,,,
Coley_BCI,TROP_RF,Tachigali versicolor,T,E,,,Y,1.36,,0.354,,,
Coley_BCI,TROP_RF,Hirtella triandra,T,E,,,N,1.1,,0.258,,,
Coley_BCI,TROP_RF,Alchornea costaricense,T,,,,N,0.72,,0.365,,,
Coley_BCI,TROP_RF,Croton bilbergianus,T,,,,N,,,0.433,,,
Coley_BCI,TROP_RF,Hyeronima alcheornoides,T,,,,N,0.82,,0.386,,,
Coley_BCI,TROP_RF,Sapium aucuparium,T,,,,N,0.72,,0.484,,,
Coley_BCI,TROP_RF,Casearia arborea,T,,,,N,0.94,,0.45,,,
Coley_BCI,TROP_RF,Zuelania guidonia,T,,,,N,0.85,,0.299,,,
Coley_BCI,TROP_RF,Calophyllum longifolium,T,E,,,N,1.54,,0.068,,,
Coley_BCI,TROP_RF,Miconia argentea,T,,,,N,0.95,,0.223,,,
Coley_BCI,TROP_RF,Guarea glabra,T,E,,,N,1.48,,0.491,,,
Coley_BCI,TROP_RF,Guarea multiflora,T,E,,,N,1.53,,0.38,,,
Coley_BCI,TROP_RF,Trichilia cipo,T,E,,,N,1.51,,0.314,,,
Coley_BCI,TROP_RF,Cecropia insignis,T,,,,N,0.67,,0.318,,,
Coley_BCI,TROP_RF,Cecropia obtusifolia,T,,,,N,0.6,,0.47,,,
Coley_BCI,TROP_RF,Poulsenia armata,T,E,,,N,1.45,,0.204,,,
Coley_BCI,TROP_RF,Virola sebifera,T,E,,,N,1.38,,0.433,,,
Coley_BCI,TROP_RF,Alseis blackiana,T,,,,N,1.01,,0.473,,,
Coley_BCI,TROP_RF,Faramea occidentalis,T,E,,,N,,,0.207,,,
Coley_BCI,TROP_RF,Macrocnemum glabrescens,T,,,,N,0.96,,0.371,,,
Coley_BCI,TROP_RF,Zanthoxylum ekmanii,T,,,,N,0.67,,0.428,,,
Coley_BCI,TROP_RF,Zanthoxylum panamense,T,,,,N,0.88,,0.45,,,
Coley_BCI,TROP_RF,Cupania rufescens,T,E,,,N,1.32,,0.272,,,
Coley_BCI,TROP_RF,Cupania sylvatica,T,E,,,N,1.48,,0.41,,,
Coley_BCI,TROP_RF,Chrysophyllum argenteum,T,,,,N,0.93,,0.255,,,
Coley_BCI,TROP_RF,Pouteria reticulata,T,E,,,N,1.43,,0.465,,,
Coley_BCI,TROP_RF,Simarouba amara,T,,,,N,1.04,,0.373,,,
Coley_BCI,TROP_RF,Apeiba aspera,T,,,,N,0.77,,0.34,,,
Coley_BCI,TROP_RF,Apeiba tibourbou,T,,,,N,0.59,,0.422,,,
Coley_BCI,TROP_RF,Luehea seemannii,T,D,B,,N,0.69,,0.418,,,
Coley_BCI,TROP_RF,Trema micrantha,T,E,,,N,0.81,,0.461,,,
Cornelissen_UK_Sheffield,WLAND,Acer platanoides,T,D,B,C3,N,,1.76,0.372,-0.784,,
Cornelissen_UK_Sheffield,WLAND,Acer pseudoplatanus,T,D,B,C3,N,,1.88,0.454,-0.752,,
Cornelissen_UK_Sheffield,WLAND,Aesculus hippocastanum,T,D,,,N,,1.86,0.372,-0.804,,
Cornelissen_UK_Sheffield,WLAND,Alnus glutinosa,T,D,,,Y,,1.84,0.549,-0.685,,
Cornelissen_UK_Sheffield,WLAND,Arbutus unedo,S,E,B,C3,N,,1.97,0.362,-0.717,,
Cornelissen_UK_Sheffield,WLAND,Berberis vulgaris,S,D,,,N,,1.88,0.361,-0.908,,
Cornelissen_UK_Sheffield,WLAND,Betula pendula,T,D,,,N,,1.86,0.44,-0.796,,
Cornelissen_UK_Sheffield,WLAND,Buddleja davidii,S,D,,,N,,1.91,0.297,-0.63,,
Cornelissen_UK_Sheffield,WLAND,Buxus sempervirens,S,E,B,C3,N,,2.04,0.32,-0.997,,
Cornelissen_UK_Sheffield,WLAND,Calluna vulgaris,S,E,,,N,,1.78,0.169,-1.015,,
